Sentence number	||	Number of Future LM (unigram) unknown tokens	||	Number of LM unknown tokens	||	Number of tokens	||	Original sentence log probability	||	Reordered sentence log probability	||	Original sentence	||	Reordered sentence
29 	||	 0 	||	 0 	||	 14 	||	 -51.93185806274414 	||	 -50.623626708984375 	||	 Evan Washington 's game-tying 3-point attempt with 5 seconds remaining came up short . 	||	 Evan Washington 's game-tying 3-point attempt came up short with 5 seconds remaining .
30 	||	 0 	||	 0 	||	 17 	||	 -90.41039276123047 	||	 -88.73058652877808 	||	 This is his pretzel posture , the political equivalent of the brace position for airline passengers . 	||	 This is his political equivalent of the posture position , the pretzel brace for airline passengers .
31 	||	 0 	||	 0 	||	 25 	||	 -100.91810607910156 	||	 -96.34837913513184 	||	 City officials and Nationals executives have been working on plans for new traffic patterns and parking for about 5,000 cars expected at most games . 	||	 City officials and executives have been working on plans for new traffic patterns and parking for about 5,000 cars expected at most Nationals games .
32 	||	 0 	||	 0 	||	 20 	||	 -64.40013885498047 	||	 -64.40006470680237 	||	 She later updated it with details of 10 donors , who each gave about £ 1,000 to her campaign . 	||	 She later updated it with details of 10 donors , who each gave about £ 1,000 to her campaign .
33 	||	 0 	||	 0 	||	 39 	||	 -179.07147216796875 	||	 -161.67198181152344 	||	 It has updated this night-time classic , and as well as selling the whole set ( £ 29.50 , in everything from spots to plaid ) , it also has separates that you can throw into the mix . 	||	 It also has everything from updated plaid to classic separates ( £ 29.50 ) that you can throw into the mix , as well as the whole set , in spots , and this has it selling night-time .
34 	||	 0 	||	 0 	||	 14 	||	 -50.32635498046875 	||	 -50.326393127441406 	||	 Terrorists and extremists were succeeding in their efforts to plunge Iraq into chaos . 	||	 Terrorists and extremists were succeeding in their efforts to plunge Iraq into chaos .
35 	||	 0 	||	 0 	||	 27 	||	 -115.28598022460938 	||	 -115.34295988082886 	||	 Altman : It 's difficult to get their attention , but we built a cool service that consumers really like and that fits with their goals . 	||	 Altman : It 's difficult to get their attention , but we built a really cool service that consumers like and that fits with their goals .
36 	||	 0 	||	 0 	||	 21 	||	 -83.08040618896484 	||	 -83.60451889038086 	||	 It also said majority of earthquakes recorded in the past days have been associated with rockfalls , not rising magma . 	||	 It also said past earthquakes have not been associated with rockfalls , the majority recorded in days of rising magma .
37 	||	 0 	||	 0 	||	 46 	||	 -137.46311950683594 	||	 -188.98184871673584 	||	 Their overwhelming favorite is 57-year-old Briton Hilary Mantel , whose " Wolf Hall , " about the life and times of Thomas Cromwell , has led the odds ever since the shortlist for one of the world 's top literary awards was revealed last month . 	||	 Hilary Mantel , whose Wolf Hall shortlist for Cromwell was one of the literary world 's top awards last month , has revealed the 57-year-old Briton is the overwhelming favorite ever since odds about the life and times of " Their " Thomas , led .
38 	||	 0 	||	 0 	||	 15 	||	 -59.924617767333984 	||	 -59.92463159561157 	||	 With McCain and Giuliani in the race , he faced two nationally known figures . 	||	 With McCain and Giuliani in the race , he faced two nationally known figures .
39 	||	 0 	||	 0 	||	 16 	||	 -62.015907287597656 	||	 -56.08774185180664 	||	 We practise that every training session and it 's great to be involved with it . 	||	 We practise it every training session and it 's great to be involved with that .
40 	||	 0 	||	 0 	||	 42 	||	 -181.9693603515625 	||	 -169.9595594406128 	||	 What I 'm describing ( imagining would probably be more accurate ) is a process of viral social change , and change of this kind , which is nonlinear , is never something anyone can plan or predict or count on . 	||	 What I 'm describing is a kind of nonlinear process of imagining viral social change , which is something anyone can count on ( or predict ) would be more accurate , and this is probably never change , or plan .
41 	||	 0 	||	 0 	||	 18 	||	 -69.82559967041016 	||	 -68.88965272903442 	||	 She said she quit when the manager told her she had to provide manual sex for clients . 	||	 She said she quit when the manager told her she had to provide sex manual for clients .
42 	||	 0 	||	 0 	||	 54 	||	 -133.3115692138672 	||	 -194.12779903411865 	||	 But this season , she took her skiing to a new level , dominating the downhill and picking up enough points in combined , super-G and giant slalom to win the overall title ahead of last year 's champion , Nicole Hosp of Austria , and her good friend Maria Riesch of Germany . 	||	 Nicole Hosp of Austria and downhill champion Maria Riesch of Germany combined super-G and giant slalom to win the overall title in dominating skiing this season , picking up enough points ahead of last year 's good friend took her to a new level , and she , her , the But , .
43 	||	 0 	||	 0 	||	 14 	||	 -46.284812927246094 	||	 -46.28483009338379 	||	 If it 's the latter , the Century Plaza may be in trouble . 	||	 If it 's the latter , the Century Plaza may be in trouble .
44 	||	 0 	||	 0 	||	 7 	||	 -41.90119171142578 	||	 -41.901212215423584 	||	 Another sneak peek from my shoot ! 	||	 Another sneak peek from my shoot !
45 	||	 0 	||	 0 	||	 11 	||	 -23.229286193847656 	||	 -23.229313850402832 	||	 Iraq produces about 2.5 million barrels of oil a day . 	||	 Iraq produces about 2.5 million barrels of oil a day .
46 	||	 0 	||	 0 	||	 32 	||	 -126.71141815185547 	||	 -127.55931234359741 	||	 Then , Green tapped a rebound past a diving Ward at the end of the second period--an instant after the green light flashed and the buzzer sounded to end the period . 	||	 Then after a green light flashed and the buzzer sounded to end the second period , Ward tapped a rebound past the diving Green at the end of the period--an instant .
47 	||	 0 	||	 0 	||	 41 	||	 -148.13101196289062 	||	 -166.85605430603027 	||	 But last Fridays ' attack showed that terrorists , possibly Noordin 's violent Jemaah Islamiyah splinter group , are still able to strike closely-guarded Western targets in the heart of the capital , reviving fears that more bombings may follow . 	||	 Noordin 's violent splinter group Jemaah Islamiyah bombings showed that terrorists are still able to strike Western targets in the heart of the capital , reviving fears that more attack may follow , possibly But Fridays ' last , closely-guarded .
48 	||	 0 	||	 0 	||	 11 	||	 -48.39302062988281 	||	 -48.39306688308716 	||	 There was Elizabeth whose daughter had recently died of leukemia . 	||	 There was Elizabeth whose daughter had recently died of leukemia .
49 	||	 0 	||	 0 	||	 37 	||	 -60.36149597167969 	||	 -78.47312951087952 	||	 Megrahi , who was convicted in 2001 , was given a chance to clear his name last year when the Scottish Criminal Cases Review Commission referred his case back to appeal judges , The Scotsman reported . 	||	 The Scottish Criminal Cases Review Commission referred his case back to appeal judges last year when Megrahi , who was convicted in 2001 , was given a chance to clear his name , the Scotsman reported .
50 	||	 0 	||	 0 	||	 10 	||	 -38.6368408203125 	||	 -38.63676738739014 	||	 U.S forces first landed in Afghanistan in October 2001 . 	||	 U.S forces first landed in Afghanistan in October 2001 .
51 	||	 0 	||	 0 	||	 14 	||	 -59.56705093383789 	||	 -59.236233711242676 	||	 However , the medical teams say all the teenagers will need prolonged care . 	||	 However , the medical teams say the teenagers will all need prolonged care .
52 	||	 0 	||	 0 	||	 53 	||	 -203.30328369140625 	||	 -205.63064336776733 	||	 " While we 're asking consumers for their help to reduce consumption , it is still important to maintain health and safety as high priorities during high heat periods and recognize that children , elderly and the chronically ill may be particularly vulnerable to the effects of heat , " said Tonge . 	||	 While the elderly and chronically ill may be particularly vulnerable to heat effects during periods of high heat , it is important to reduce their consumption to help maintain health and safety as consumers recognize that we 're still asking for high priorities , " said Tonge , " and the children .
53 	||	 0 	||	 0 	||	 35 	||	 -108.6838150024414 	||	 -104.85281109809875 	||	 John Connolly , whose two-year stint as head coach ended with the defeat , was confident Australian rugby was on the right track and the Wallabies would remain a force in years to come . 	||	 Australian head coach John Connolly , whose two-year stint with the Wallabies ended in defeat , was confident rugby was on the right track and would remain a force as the years to come .
54 	||	 0 	||	 0 	||	 33 	||	 -121.3323974609375 	||	 -115.77979946136475 	||	 It begs the question as to whether Chelsea could be tempted to look at the Ajax striker Luis Suarez , also a target for Spurs , although he is Champions League cup-tied . 	||	 It also begs the question whether Ajax striker Luis Suarez is cup-tied for the Champions League , although he could be tempted to look to Chelsea , as a target at Spurs .
55 	||	 0 	||	 0 	||	 22 	||	 -21.18818473815918 	||	 -21.1881685256958 	||	 Top daily rates-up to £ 170 p / d. servite houses limited. east and west midlands . £ 19,717.60 per annum . 	||	 Top daily rates-up to £ 170 p / d. servite houses limited. east and west midlands . £ 19,717.60 per annum .
56 	||	 0 	||	 0 	||	 14 	||	 -51.562164306640625 	||	 -50.55863380432129 	||	 His father started working to help support his family before he reached puberty . 	||	 His father started working before he reached puberty to help support his family .
57 	||	 0 	||	 0 	||	 13 	||	 -56.963016510009766 	||	 -56.96303367614746 	||	 Taking a 20-minute nap can restore energy without leaving you feeling groggy . 	||	 Taking a 20-minute nap can restore energy without leaving you feeling groggy .
58 	||	 1 	||	 1 	||	 39 	||	 -173.6551513671875 	||	 -174.16094207763672 	||	 Taking yesterday 's negative surprise on Polish labour data into account , we could be in for another negative surprise today when we get numbers for Polish industrial production in April.Worsening wages and unemployment growth are bad enough . 	||	 Taking into account today 's April.Worsening unemployment numbers and negative industrial production data yesterday , we could be in for another negative surprise on growth surprise when labour wages are bad enough for we get Polish in Polish .
59 	||	 0 	||	 0 	||	 28 	||	 -121.06205749511719 	||	 -117.55642557144165 	||	 The Walker consortium 's initial plan was to buy the chain unencumbered by its debts and pension liabilities which , combined , stand at £ 172m today . 	||	 The consortium 's combined debts and pension liabilities , which today stand at £ 172m , was unencumbered by its initial plan to buy the Walker chain .
60 	||	 0 	||	 0 	||	 25 	||	 -78.52938842773438 	||	 -87.56799292564392 	||	 With rare Russian and Chinese backing , the vote sent a message of increasing international resolve to challenge Iran over its disputed nuclear ambitions . 	||	 With rare Russian and Chinese backing to challenge Iran over its disputed nuclear ambitions , the vote sent a message of increasing international resolve .
61 	||	 0 	||	 0 	||	 28 	||	 -173.8052978515625 	||	 -144.96489429473877 	||	 Sony Online has gone from creating Cash Money Chaos , a bang-bang game released in 2006 that features guns , girls and gold , to Free Realms . 	||	 Free Realms , a game that Sony Online released in 2006 , has gone gold from Cash Money to Chaos , and features bang-bang girls creating guns .
62 	||	 0 	||	 0 	||	 39 	||	 -150.21438598632812 	||	 -160.39072132110596 	||	 PARIS -- Although the Paris Opera is the place where Romantic ballets like " La Sylphide " ( 1832 ) and " Giselle " ( 1841 ) had their world premieres , it isn 't where they survived . 	||	 Although Romantic ballets like " La Sylphide " and " Giselle " had their world premieres , the Paris Opera ( where they survived ) isn 't the place where it is . -- PARIS 1832 ( 1841 )
63 	||	 0 	||	 0 	||	 27 	||	 -104.38575744628906 	||	 -103.21990704536438 	||	 But because GPs could confirm or rule out heart problems from the heart monitor readings , only 21 patients were referred to hospital for further tests . 	||	 But only 21 heart patients were referred for further tests to confirm or rule out heart problems , because GPs could monitor readings from the hospital .
64 	||	 0 	||	 0 	||	 26 	||	 -64.00164031982422 	||	 -74.54835844039917 	||	 The bank 's total revenue fell below expectations , however , and the company 's stock fell 78 cents to $ 43.91 in premarket trading . 	||	 The bank 's stock fell 78 cents to $ 43.91 in premarket trading , and the company 's total revenue fell below expectations , however .
65 	||	 0 	||	 0 	||	 32 	||	 -83.65196228027344 	||	 -83.28315925598145 	||	 The Interior Department 's Minerals Management Service said yesterday that only 61 percent of oil production in the Gulf of Mexico has been restored as companies struggle with repairs to platforms . 	||	 The Interior Department 's Minerals Management Service said yesterday that only 61 percent of oil production in the Gulf of Mexico has been restored to platforms as companies struggle with repairs .
66 	||	 0 	||	 0 	||	 13 	||	 -44.82679748535156 	||	 -41.37462377548218 	||	 And they were all , of course , extremely popular in Austria . 	||	 And , of course , they were all extremely popular in Austria .
67 	||	 0 	||	 0 	||	 17 	||	 -63.095314025878906 	||	 -62.21845459938049 	||	 Some academies have shown remarkable results , giving a new start to schools in deprived areas . 	||	 Some schools have shown remarkable results , giving a new start to academies in deprived areas .
68 	||	 0 	||	 0 	||	 25 	||	 -107.23785400390625 	||	 -105.60649013519287 	||	 21 ) : You are prone to shocking , reckless action , so you need to tune up the volume on the self-control knob . 	||	 21 ) : You are prone to self-control , so you need to tune up the volume knob on the reckless , shocking action .
69 	||	 0 	||	 0 	||	 25 	||	 -84.7802505493164 	||	 -83.4155068397522 	||	 " There 's huge speculation that he ( Ashton ) would like to bring Shaun Edwards into his coaching team , " said Robertson . 	||	 " There 's huge speculation that he ( Robertson ) would like to bring Shaun Edwards into his coaching team , " said Ashton .
70 	||	 0 	||	 0 	||	 30 	||	 -42.4499397277832 	||	 -56.9702844619751 	||	 Excluding one-time items , earnings per share were 39 cents , exceeding the 34 cents per share expected , on average , by analysts , according to Reuters Estimates . 	||	 Excluding one-time items , earnings were 39 cents per share , exceeding the 34 cents per share expected by analysts , according to Reuters Estimates , on average , .
71 	||	 0 	||	 0 	||	 28 	||	 -145.25698852539062 	||	 -135.30442190170288 	||	 Although not one to flinch at danger , Baumgartner may find that rising in the balloon may is more gut-wrenching than shooting to Earth like a comet . 	||	 Although Earth may not like to flinch at a rising comet , Baumgartner may find that more than one balloon is shooting in to the gut-wrenching danger .
72 	||	 0 	||	 0 	||	 30 	||	 -77.43799591064453 	||	 -77.43790686130524 	||	 Recently , Afghan President Hamid Karzai told the BBC that he planned to introduce a scheme to attract Taliban fighters back to normal life by offering money and jobs . 	||	 Recently , Afghan President Hamid Karzai told the BBC that he planned to introduce a scheme to attract Taliban fighters back to normal life by offering money and jobs .
73 	||	 0 	||	 0 	||	 30 	||	 -109.79933166503906 	||	 -104.08813881874084 	||	 He said it appeared to be a football issue and that it was " downright despicable " for anyone to try and associate the Apprentice Boys with the trouble . 	||	 He said it was " downright despicable " for anyone to try and associate it with the Apprentice Boys and that the trouble appeared to be a football issue .
74 	||	 0 	||	 0 	||	 30 	||	 -83.6195068359375 	||	 -81.19994163513184 	||	 Five US citizens accused of plotting jihad , attempting to join Al-Qaeda and planning terrorist attacks are due to appear in court in Pakistan 's Punjab province on Tuesday . 	||	 Five US citizens accused of plotting jihad , planning terrorist attacks and attempting to join Al-Qaeda are due to appear in court on Tuesday in Pakistan 's Punjab province .
75 	||	 0 	||	 0 	||	 29 	||	 -91.18521881103516 	||	 -93.46553659439087 	||	 When Vinas arrived in Lahore he had little idea about how he was going to gain access to the fighting in Afghanistan , according to his own account . 	||	 When he arrived in Lahore , Vinas had little idea about how he was going to gain access to the fighting in Afghanistan according to his own account .
76 	||	 0 	||	 0 	||	 9 	||	 -29.28758430480957 	||	 -29.28755807876587 	||	 The opposition said the constitution had been flouted . 	||	 The opposition said the constitution had been flouted .
77 	||	 0 	||	 0 	||	 33 	||	 -153.47412109375 	||	 -134.00207424163818 	||	 If you are a young active person or a professional , you can 't afford the time off the treatment causes from side affects to only find later the disease is back . 	||	 If you are a young person , you can 't afford the disease treatment or the time off from active professional causes only to later find the back is a side affects .
78 	||	 0 	||	 0 	||	 26 	||	 -90.30925750732422 	||	 -91.93987369537354 	||	 SOTOMAYOR : In the situation of that case , that was the position that I took because that 's what I believed the law commanded . 	||	 SOTOMAYOR : In that case , I took that position because I believed that that 's what the law commanded of the situation was the .
79 	||	 0 	||	 0 	||	 47 	||	 -126.75108337402344 	||	 -148.96568822860718 	||	 Eurostar , which has enjoyed months of successive growth following its move across London from Waterloo to St Pancras , reported recently that passenger numbers fell by 11.5 per cent between January and March , to 1.92 million , compared with the same period last year . 	||	 Eurostar from London Waterloo to St Pancras recently reported that passenger numbers fell by 11.5 per cent between January and March , compared with the same period last year , to 1.92 million , which has enjoyed successive months of growth , following its move across .
80 	||	 0 	||	 0 	||	 34 	||	 -85.83232879638672 	||	 -106.2098650932312 	||	 They are at least twice as likely as adults to send IMs to a friend 's phone , and to use them to share music or video files or to listen to music . 	||	 They are at least twice as likely as adults to use IMs to share music or video files or listen to music and send them to a friend 's phone to , to .
81 	||	 0 	||	 0 	||	 23 	||	 -87.13700866699219 	||	 -89.8766975402832 	||	 The volume will have very short articles , no more than a few paragraphs at most , and include photos and illustrations . 	||	 The articles will include no more than a few paragraphs and have very short illustrations , volume , and photos at most .
82 	||	 0 	||	 0 	||	 13 	||	 -100.37357330322266 	||	 -84.86221218109131 	||	 Try Jumbo 's for crab with doughnuts or prawns and dried chillis . 	||	 Try with chillis and dried doughnuts or Jumbo prawns for crab 's .
83 	||	 0 	||	 0 	||	 8 	||	 -37.537933349609375 	||	 -37.5379581451416 	||	 The Porsche chief said nothing in public . 	||	 The Porsche chief said nothing in public .
84 	||	 1 	||	 1 	||	 17 	||	 -56.79179763793945 	||	 -60.1135835647583 	||	 Christie 's brought in 102 million dollars , within the target range of 87-125 million dollars . 	||	 Christie 's brought in 87-125 million dollars , within the target range of 102 million dollars .
85 	||	 0 	||	 0 	||	 30 	||	 -103.83965301513672 	||	 -109.21114826202393 	||	 I asked director Kathryn Bigelow about this and she was perplexed but happy to be there despite the fact that her film is months away from actually hitting theaters . 	||	 I actually asked director Kathryn Bigelow about this despite the fact that her film was months away from hitting theaters and she is perplexed but happy to be there .
86 	||	 0 	||	 0 	||	 32 	||	 -96.40901947021484 	||	 -96.4090884923935 	||	 Kenya police have detained a pathologist hired by the state-run rights watchdog to probe claims that security forces tortured civilians during a crackdown on tribal militia , an official said Sunday . 	||	 Kenya police have detained a pathologist hired by the state-run rights watchdog to probe claims that security forces tortured civilians during a crackdown on tribal militia , an official said Sunday .
87 	||	 0 	||	 0 	||	 27 	||	 -95.78107452392578 	||	 -87.78353977203369 	||	 Queen Elizabeth is formally queen of Australia despite the country 's independence from Britain and the governor general acts as the monarch 's representative in Australia . 	||	 Queen Elizabeth is the queen 's representative in Australia and the monarch formally acts as governor of Australia despite the country 's general independence from Britain .
88 	||	 0 	||	 0 	||	 23 	||	 -117.98240661621094 	||	 -111.01506185531616 	||	 Liked Green Day 's " 21 Guns " but thought it lacked a certain -- how shall we say ? -- pizazz ? 	||	 Liked -- shall we say it lacked a certain pizazz ? -- but how Green Day 's " 21 Guns " thought ?
89 	||	 0 	||	 0 	||	 34 	||	 -142.62440490722656 	||	 -144.96637153625488 	||	 " The government is not giving contractors adequate guidance on events , dates , and requirements for them to trim or redeploy workforces appropriately , " the commissioners said in the prepared statement . 	||	 " The government is not giving adequate guidance on the requirements for contractors to trim workforces or redeploy them , " commissioners said in the statement , prepared appropriately , dates and events .
90 	||	 0 	||	 0 	||	 21 	||	 -71.70101928710938 	||	 -71.70104885101318 	||	 A little more than a year later , Coleman 's parents were concerned that his verbal skills were not developing . 	||	 A little more than a year later , Coleman 's parents were concerned that his verbal skills were not developing .
91 	||	 0 	||	 0 	||	 17 	||	 -63.364418029785156 	||	 -63.364428997039795 	||	 The track he could dominate , and that is what he did in a thrilling final . 	||	 The track he could dominate , and that is what he did in a thrilling final .
92 	||	 0 	||	 0 	||	 13 	||	 -40.773040771484375 	||	 -40.77304172515869 	||	 The increased oversight should not come as a surprise for the industry . 	||	 The increased oversight should not come as a surprise for the industry .
93 	||	 0 	||	 0 	||	 29 	||	 -120.97647857666016 	||	 -119.95328521728516 	||	 The statement says both missiles launched and flew without trouble but the system 's sea-based X-band radar did not perform as expected and the interceptor missed its target . 	||	 The system 's sea-based X-band radar and its interceptor missiles did not perform as expected but both flew without trouble and missed the target the launched statement says .
94 	||	 0 	||	 0 	||	 30 	||	 -124.5977783203125 	||	 -113.5358510017395 	||	 The slick , open-top three-seater can make the switch from car to boat in under 12 seconds , and has a top speed of 30 mph on the water . 	||	 The three-seater , open-top car has a top speed of 30 mph in under 12 seconds , and can make the switch from boat to slick on the water .
95 	||	 0 	||	 0 	||	 31 	||	 -76.92735290527344 	||	 -89.14895391464233 	||	 " When you walk around the areas that were devastated , it looked like hell today , " Gov. Arnold Schwarzenegger ( R ) said at a news conference Saturday . 	||	 Gov. Arnold Schwarzenegger ( R ) said at a news conference Saturday , " When you walk around the areas that were devastated today , it looked like hell . "
